Registro no CAR;Houve Retificação?;Aderiu ao PRA?;Bioma;% do Bioma;Défice Reserva Legal;Cidade;Estado;Latitude;Longitude;Data de Registro;Data da Última Retificação;Data de Análise;Status do Imóvel;Tipo de Imóvel;Situação;Condição;Condição PRA;Área;Módulo Fiscal;Área total de remanescentes de vegetação nativa;Área total de uso consolidado;Área total de servidão administrativa;Situação RL;Área de reserva legal averbada vetorizada;Área de reserva legal aprovada não averbada vetorizada;Área de reserva legal proposta vetorizada;Total de reserva legal declarada pelo proprietário/possuidor;Áreas de preservação permanente;Área de uso restrito
MT-5101902-25CF33FB77864B538BE672CBC6D75C73;Nâo;Nâo;Amazônia;80;128,7871254;Brasnorte;MT;"12°42'11,78"" S";"57°40'13,94"" O";03/06/2016;03/06/2016;--;Ativo;IRU;AT;Aguardando análise;--;2844,0568;28,4406;0;100,8891351;0;Não Analisada;0;0;2068,2849;2068,2849;78,17341463;0
MT-5101902-8E1210E8D5D7451BA2E76459501BF012;Nâo;Nâo;Amazônia;80;-248,1753;Brasnorte;MT;"11°34'08,89"" S";"58°21'19,02"" O";06/08/2018;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1102,994;11,03;1069,1068;30,9267;0;Não Analisada;0;1069,1068;0;1069,1068;61,4637;0
MT-5101902-48F2822876194FD9BFBC5549B8AD0A80;Nâo;Sim;Amazônia;80;-78,29513135;Brasnorte;MT;"12°30'11,15"" S";"57°34'00,98"" O";08/09/2015;08/09/2015;--;Ativo;IRU;AT;Aguardando análise;--;3258,2857;32,5829;3244,94237;0;0;Não Analisada;0;0;2606,6279;2606,6279;78,29579135;0
MT-5101902-E226481B404648B1AAE203317D3E0521;Sim;Sim;Amazônia;80;683,19902;Brasnorte;MT;"12°10'12,42"" S";"58°04'25,65"" O";19/10/2014;20/02/2020;--;Ativo;IRU;AT;Aguardando análise;--;1358,3629;13,58;336,4609;1013,7756;0;Não Analisada;0;336,4609;0;336,4609;67,0304;0
MT-5101902-29E3AD8AEC5C49F8B57025A881571CBA;Nâo;Sim;Amazônia;80;1829,7995;Brasnorte;MT;"12°46'51,96"" S";"57°34'13,18"" O";12/11/2019;12/11/2019;--;Ativo;IRU;AT;Aguardando análise;--;20956,2615;209,56;20543,1455;413,0489;0;Não Analisada;0;14806,8115;0;14806,8115;128,3982;0
MT-5101902-53221DF6E26C434D8CEAA12AF8056CF6;Sim;Nâo;Amazônia;80;1630,31576;Brasnorte;MT;"12°35'31,14"" S";"57°40'31,85"" O";22/10/2014;28/09/2018;--;Ativo;IRU;AT;Aguardando análise;--;5516,7397;55,17;2735,5258;2779,7196;0;Não Analisada;0;2735,5258;0;2735,5258;47,5502;0
MT-5101902-E0093317FF3B429985B1432EFCB9D120;Sim;Sim;Amazônia;80;-209,37112;Brasnorte;MT;"12°17'44,08"" S";"58°08'59,02"" O";03/08/2018;26/03/2020;--;Ativo;IRU;AT;Aguardando análise;--;1328,6611;13,29;1222,5592;97,7495;0;Não Analisada;0;1222,5592;0;1222,5592;49,7408;0
MT-5101902-B5E422404E7744068C15A6F2AD1B5BF1;Sim;Nâo;Amazônia;80;-46,29722;Brasnorte;MT;"11°56'52,54"" S";"57°59'30,64"" O";28/12/2018;01/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;1718,8421;17,19;1717,3892;0;0;Não Analisada;0;1374,4142;0;1374,4142;46,9567;0
MT-5101902-FBD85856EB2A425FAAFA9B0FF8F188D4;Sim;Sim;Amazônia;80;221,81652;Brasnorte;MT;"11°55'58,17"" S";"57°58'16,87"" O";22/10/2014;01/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;1717,8889;17,18;1063,6875;637,9417;0;Não Analisada;0;1063,6908;0;1063,6908;88,8038;0
MT-5101902-16F0566BE050422392B5EC3A65E26525;Sim;Sim;Amazônia;80;196,47108;Brasnorte;MT;"12°47'04,42"" S";"58°16'54,3"" O";14/03/2017;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;531,2031;5,31;368,7459;45,6248;0;Não Analisada;0;216,2959;0;216,2959;12,1955;0
MT-5101902-E501C15CC69B44A7B0A2276B399AA584;Nâo;Nâo;Amazônia;80;-20,10054;Brasnorte;MT;"12°29'00,55"" S";"57°31'08,16"" O";19/12/2018;19/12/2018;--;Ativo;IRU;AT;Aguardando análise;--;981,9637;9,82;978,5829;0;0;Não Analisada;0;782,6923;0;782,6923;22,9792;0
MT-5101902-789A6B39C9BB41DB8BD96EFF3E47A59D;Sim;Sim;Amazônia;80;738,0637249;Brasnorte;MT;"12°03'31,89"" S";"58°12'17,19"" O";20/10/2014;10/10/2016;--;Ativo;IRU;AT;Em análise;--;2604,9549;26,0495;1317,787953;1238,918836;31,19329846;Não Analisada;0;0;1317,787;1317,787;28,11319509;0
